DATE,THREEFF10
2018-07-09,3.6731
2018-07-10,3.6803
2018-07-11,3.6614
2018-07-12,3.6563
2018-07-13,3.6343
2018-07-16,3.6408
2018-07-17,3.6480
2018-07-18,3.6541
2018-07-19,3.6331
2018-07-20,3.6657
2018-07-23,3.7287
2018-07-24,3.7390
2018-07-25,3.7375
2018-07-26,3.7684
2018-07-27,3.7582
2018-07-30,3.7675
2018-07-31,3.7512
2018-08-01,3.7796
2018-08-02,3.7762
2018-08-03,3.7513
2018-08-06,3.7342
2018-08-07,3.7541
2018-08-08,3.7554
2018-08-09,3.7307
2018-08-10,3.6823
2018-08-13,3.6710
2018-08-14,3.6791
2018-08-15,3.6540
2018-08-16,3.6555
2018-08-17,3.6524
2018-08-20,3.6181
2018-08-21,3.6237
2018-08-22,3.6082
2018-08-23,3.6015
2018-08-24,3.5999
2018-08-27,3.6141
2018-08-28,3.6424
2018-08-29,3.6505
2018-08-30,3.6308
2018-08-31,3.6284
2018-09-03,.
2018-09-04,3.6579
2018-09-05,3.6679
2018-09-06,3.6592
2018-09-07,3.7003
2018-09-10,3.7014
2018-09-11,3.7285
2018-09-12,3.7219
2018-09-13,3.7171
2018-09-14,3.7314
2018-09-17,3.7300
2018-09-18,3.7704
2018-09-19,3.8017
2018-09-20,3.8074
2018-09-21,3.8063
2018-09-24,3.8159
2018-09-25,3.8322
2018-09-26,3.8122
2018-09-27,3.8014
2018-09-28,3.7931
2018-10-01,3.8168
2018-10-02,3.8025
2018-10-03,3.8668
2018-10-04,3.9193
2018-10-05,3.9671
2018-10-08,.
2018-10-09,3.9645
2018-10-10,3.9748
2018-10-11,3.9301
2018-10-12,3.9224
2018-10-15,3.9305
2018-10-16,3.9296
2018-10-17,3.9511
2018-10-18,3.9469
2018-10-19,3.9644
2018-10-22,3.9644
2018-10-23,3.9471
2018-10-24,3.8945
2018-10-25,3.9116
2018-10-26,3.8731
2018-10-29,3.8657
2018-10-30,3.8879
2018-10-31,3.9210
2018-11-01,3.9194
2018-11-02,3.9737
2018-11-05,3.9750
2018-11-06,3.9866
2018-11-07,3.9911
2018-11-08,4.0002
2018-11-09,3.9680
2018-11-12,.
2018-11-13,3.9194
2018-11-14,3.8917
2018-11-15,3.8774
2018-11-16,3.8550
2018-11-19,3.8434
2018-11-20,3.8453
2018-11-21,3.8533
2018-11-22,.
2018-11-23,3.8481
2018-11-26,3.8581
2018-11-27,3.8514
2018-11-28,3.8368
2018-11-29,3.8216
2018-11-30,3.7952
2018-12-03,3.7656
2018-12-04,3.6922
2018-12-05,.
2018-12-06,3.6393
2018-12-07,3.6022
2018-12-10,3.5881
2018-12-11,3.6100
2018-12-12,3.6278
2018-12-13,3.6270
2018-12-14,3.6208
2018-12-17,3.6002
2018-12-18,3.5816
2018-12-19,3.5435
2018-12-20,3.5509
2018-12-21,3.5548
2018-12-24,3.5342
2018-12-25,.
2018-12-26,3.5888
2018-12-27,3.5783
2018-12-28,3.5526
2018-12-31,3.5295
2019-01-01,.
2019-01-02,3.4984
2019-01-03,3.4233
2019-01-04,3.4817
2019-01-07,3.5174
2019-01-08,3.5408
2019-01-09,3.5510
2019-01-10,3.5549
2019-01-11,3.5356
2019-01-14,3.5360
2019-01-15,3.5454
2019-01-16,3.5581
2019-01-17,3.5810
2019-01-18,3.6077
2019-01-21,.
2019-01-22,3.5772
2019-01-23,3.5760
2019-01-24,3.5468
2019-01-25,3.5608
2019-01-28,3.5559
2019-01-29,3.5280
2019-01-30,3.5103
2019-01-31,3.4642
2019-02-01,3.5084
2019-02-04,3.5446
2019-02-05,3.5411
2019-02-06,3.5345
2019-02-07,3.5029
2019-02-08,3.4876
2019-02-11,3.5040
2019-02-12,3.5276
2019-02-13,3.5533
2019-02-14,3.5232
2019-02-15,3.5176
2019-02-18,.
2019-02-19,3.5044
2019-02-20,3.4996
2019-02-21,3.5264
2019-02-22,3.5135
2019-02-25,3.5226
2019-02-26,3.5044
2019-02-27,3.5402
2019-02-28,3.5805
2019-03-01,3.6162
2019-03-04,3.5968
2019-03-05,3.5860
2019-03-06,3.5578
2019-03-07,3.5164
2019-03-08,3.4921
2019-03-11,3.4982
2019-03-12,3.4774
2019-03-13,3.4760
2019-03-14,3.4917
2019-03-15,3.4708
2019-03-18,3.4747
2019-03-19,3.4814
2019-03-20,3.4397
