as_of_date,composite_ticker,fundflow
2018-01-02,SPY,-1039552800
2018-01-03,SPY,-1666392600
2018-01-04,SPY,-622124700
2018-01-05,SPY,-1548319500
2018-01-08,SPY,2434514900
2018-01-09,SPY,-1150795800
2018-01-10,SPY,3622594800
2018-01-11,SPY,2878438500
2018-01-12,SPY,-1587488750
2018-01-16,SPY,-236253250
2018-01-17,SPY,6647304000
2018-01-18,SPY,-1118296000
2018-01-19,SPY,3154361100
2018-01-22,SPY,2439262500
2018-01-23,SPY,2444818700
2018-01-24,SPY,-750644300
2018-01-25,SPY,382189050
2018-01-26,SPY,-3031021100
2018-01-29,SPY,4328067700
2018-01-30,SPY,4185354600
2018-01-31,SPY,84491400
2018-02-01,SPY,-2226062000
2018-02-02,SPY,-1887081800
2018-02-05,SPY,-5555496050
2018-02-06,SPY,-7853541300
2018-02-07,SPY,-67265250
2018-02-08,SPY,-8192446200
2018-02-09,SPY,-2332501750
2018-02-12,SPY,7143208800
2018-02-13,SPY,-994856250
2018-02-14,SPY,-798003000
2018-02-15,SPY,512304600
2018-02-16,SPY,-3234374550
2018-02-20,SPY,-669014150
2018-02-21,SPY,2131235750
2018-02-22,SPY,-108005200
2018-02-23,SPY,-2932711600
2018-02-26,SPY,4970784900
2018-02-27,SPY,2139676000
2018-02-28,SPY,27440000
2018-03-01,SPY,-3216018900
2018-03-02,SPY,-2691701550
2018-03-05,SPY,-2059441200
2018-03-06,SPY,-2503954800
2018-03-07,SPY,-2278706650
2018-03-08,SPY,3096121100
2018-03-09,SPY,2809238000
2018-03-12,SPY,2662740550
2018-03-13,SPY,1991046200
2018-03-14,SPY,166030800
2018-03-15,SPY,-5504300000
2018-03-16,SPY,1773866100
2018-03-19,SPY,-1193613900
2018-03-20,SPY,1406600000
2018-03-21,SPY,1110710500
2018-03-22,SPY,-3326325900
2018-03-23,SPY,-8093748000
2018-03-26,SPY,1729370500
2018-03-27,SPY,3022436400
2018-03-28,SPY,-1393915750
2018-03-29,SPY,-2598290000
2018-04-02,SPY,-2252215350
2018-04-03,SPY,-1339187200
2018-04-04,SPY,-508550250
2018-04-05,SPY,1081698900
2018-04-06,SPY,-2138691800
2018-04-09,SPY,4352638250
2018-04-10,SPY,599844600
2018-04-11,SPY,291683700
2018-04-12,SPY,-65928250
2018-04-13,SPY,558432000
2018-04-16,SPY,-132577500
2018-04-17,SPY,-334136250
2018-04-18,SPY,688890150
2018-04-19,SPY,-594831600
2018-04-20,SPY,1263665500
2018-04-23,SPY,1146311200
2018-04-24,SPY,-2332741250
2018-04-25,SPY,-1328367150
2018-04-26,SPY,1515268750
2018-04-27,SPY,905318340
2018-04-30,SPY,-79973580
2018-05-01,SPY,475933140
2018-05-02,SPY,-596432475
2018-05-03,SPY,-4829237395
2018-05-04,SPY,1995827640
2018-05-07,SPY,-305915295
2018-05-08,SPY,547218185
2018-05-09,SPY,213495040
2018-05-10,SPY,2277100085
2018-05-11,SPY,462499450
2018-05-14,SPY,517968500
2018-05-15,SPY,1623563410
2018-05-16,SPY,1097627760
2018-05-17,SPY,-1007108180
2018-05-18,SPY,-924928180
2018-05-21,SPY,678358500
2018-05-22,SPY,191343320
2018-05-23,SPY,1348860645
2018-05-24,SPY,861162120
2018-05-25,SPY,-1596132720
2018-05-29,SPY,-1102535955
2018-05-30,SPY,-107640880
2018-05-31,SPY,-599618580
2018-06-01,SPY,-758084600
2018-06-04,SPY,2258020875
2018-06-05,SPY,-1800777090
2018-06-06,SPY,-1086792335
2018-06-07,SPY,332993160
2018-06-08,SPY,-1040047500
2018-06-11,SPY,625990275
2018-06-12,SPY,696288500
2018-06-13,SPY,-13950440
2018-06-14,SPY,-2000885760
2018-06-15,SPY,1936737040
2018-06-18,SPY,1926309955
2018-06-19,SPY,373385160
2018-06-20,SPY,550963800
2018-06-21,SPY,-1503932950
2018-06-22,SPY,-82268640
2018-06-25,SPY,-274742800
2018-06-26,SPY,-2913008125
2018-06-27,SPY,-244414890
2018-06-28,SPY,107695040
2018-06-29,SPY,-1761066450
2018-07-02,SPY,244038780
2018-07-03,SPY,815979300
2018-07-05,SPY,-1204368470
2018-07-06,SPY,-218430640
2018-07-09,SPY,1239151050
2018-07-10,SPY,-1180955575
2018-07-11,SPY,2314365360
2018-07-12,SPY,-1273576240
2018-07-13,SPY,-1382569650
2018-07-16,SPY,782897920
2018-07-17,SPY,-41899845
2018-07-18,SPY,-673062960
2018-07-19,SPY,829089535
2018-07-20,SPY,-1315846310
2018-07-23,SPY,978990600
2018-07-24,SPY,2087671035
2018-07-25,SPY,985506900
2018-07-26,SPY,-795568760
2018-07-27,SPY,1161417250
2018-07-30,SPY,1252305205
2018-07-31,SPY,1958768700
2018-08-01,SPY,-2994744855
2018-08-02,SPY,-3553411565
2018-08-03,SPY,-310541330
2018-08-06,SPY,-297836175
2018-08-07,SPY,825573740
2018-08-08,SPY,4110972480
2018-08-09,SPY,627917840
2018-08-10,SPY,-1240096695
2018-08-13,SPY,-1047619480
2018-08-14,SPY,-1325458750
2018-08-15,SPY,-85150050
2018-08-16,SPY,1634055460
2018-08-17,SPY,-1448611140
2018-08-20,SPY,655507820
2018-08-21,SPY,399984760
2018-08-22,SPY,-1388566155
2018-08-23,SPY,-443604265
2018-08-24,SPY,-1128633105
2018-08-27,SPY,2242457880
2018-08-28,SPY,1636943990
2018-08-29,SPY,492666290
2018-08-30,SPY,-4721883660
2018-08-31,SPY,-841677150
2018-09-04,SPY,-4093249740
2018-09-05,SPY,3144836695
2018-09-06,SPY,-578078800
2018-09-07,SPY,-1080271500
2018-09-10,SPY,1135462655
2018-09-11,SPY,-1008003150
2018-09-12,SPY,-563728035
2018-09-13,SPY,-650689875
2018-09-14,SPY,988692120
2018-09-17,SPY,3927328200
2018-09-18,SPY,-969172420
2018-09-19,SPY,5395477115
2018-09-20,SPY,2504528120
2018-09-21,SPY,-2509495110
2018-09-24,SPY,-58416460
2018-09-25,SPY,-829506180
2018-09-26,SPY,1235455450
2018-09-27,SPY,-43460805
2018-09-28,SPY,-944421400
2018-10-01,SPY,944441550
2018-10-02,SPY,568717110
2018-10-03,SPY,-466465280
2018-10-04,SPY,2771641150
2018-10-05,SPY,-1968170920
2018-10-08,SPY,1453583920
2018-10-09,SPY,935104625
2018-10-10,SPY,2557846650
2018-10-11,SPY,-6754542210
2018-10-12,SPY,-2395807920
2018-10-15,SPY,-3465587120
2018-10-16,SPY,-2209881170
2018-10-17,SPY,3294940875
2018-10-18,SPY,1177515780
2018-10-19,SPY,-690887250
2018-10-22,SPY,566334025
2018-10-23,SPY,-1045307800
2018-10-24,SPY,1997129620
2018-10-25,SPY,-1763197625
2018-10-26,SPY,-3929591250
2018-10-29,SPY,4485265070
2018-10-30,SPY,2030208180
2018-10-31,SPY,-1446191820
2018-11-01,SPY,-2598940800
2018-11-02,SPY,355660370
2018-11-05,SPY,326259240
2018-11-06,SPY,1052627345
2018-11-07,SPY,2132317950
2018-11-08,SPY,-505736820
2018-11-09,SPY,-1570280320
2018-11-12,SPY,-263984860
2018-11-13,SPY,326910840
2018-11-14,SPY,1169737600
2018-11-15,SPY,432078080
2018-11-16,SPY,-1433190675
2018-11-19,SPY,711387040
2018-11-20,SPY,2219916600
2018-11-21,SPY,-1189044450
2018-11-23,SPY,-1524063950
2018-11-26,SPY,-645169525
2018-11-27,SPY,1765100040
