DATE,GDP,CPI,Interest_Rate,Unemployment_Rate
2017-08-01,,245.519,1.16,4.4
2017-08-02,,245.519,1.16,4.4
2017-08-03,,245.519,1.16,4.4
2017-08-04,,245.519,1.16,4.4
2017-08-05,,245.519,1.16,4.4
2017-08-06,,245.519,1.16,4.4
2017-08-07,,245.519,1.16,4.4
2017-08-08,,245.519,1.16,4.4
2017-08-09,,245.519,1.16,4.4
2017-08-10,,245.519,1.16,4.4
2017-08-11,,245.519,1.16,4.4
2017-08-12,,245.519,1.16,4.4
2017-08-13,,245.519,1.16,4.4
2017-08-14,,245.519,1.16,4.4
2017-08-15,,245.519,1.16,4.4
2017-08-16,,245.519,1.16,4.4
2017-08-17,,245.519,1.16,4.4
2017-08-18,,245.519,1.16,4.4
2017-08-19,,245.519,1.16,4.4
2017-08-20,,245.519,1.16,4.4
2017-08-21,,245.519,1.16,4.4
2017-08-22,,245.519,1.16,4.4
2017-08-23,,245.519,1.16,4.4
2017-08-24,,245.519,1.16,4.4
2017-08-25,,245.519,1.16,4.4
2017-08-26,,245.519,1.16,4.4
2017-08-27,,245.519,1.16,4.4
2017-08-28,,245.519,1.16,4.4
2017-08-29,,245.519,1.16,4.4
2017-08-30,,245.519,1.16,4.4
2017-08-31,,245.519,1.16,4.4
2017-09-01,,246.819,1.15,4.3
2017-09-02,,246.819,1.15,4.3
2017-09-03,,246.819,1.15,4.3
2017-09-04,,246.819,1.15,4.3
2017-09-05,,246.819,1.15,4.3
2017-09-06,,246.819,1.15,4.3
2017-09-07,,246.819,1.15,4.3
2017-09-08,,246.819,1.15,4.3
2017-09-09,,246.819,1.15,4.3
2017-09-10,,246.819,1.15,4.3
2017-09-11,,246.819,1.15,4.3
2017-09-12,,246.819,1.15,4.3
2017-09-13,,246.819,1.15,4.3
2017-09-14,,246.819,1.15,4.3
2017-09-15,,246.819,1.15,4.3
2017-09-16,,246.819,1.15,4.3
2017-09-17,,246.819,1.15,4.3
2017-09-18,,246.819,1.15,4.3
2017-09-19,,246.819,1.15,4.3
2017-09-20,,246.819,1.15,4.3
2017-09-21,,246.819,1.15,4.3
2017-09-22,,246.819,1.15,4.3
2017-09-23,,246.819,1.15,4.3
2017-09-24,,246.819,1.15,4.3
2017-09-25,,246.819,1.15,4.3
2017-09-26,,246.819,1.15,4.3
2017-09-27,,246.819,1.15,4.3
2017-09-28,,246.819,1.15,4.3
2017-09-29,,246.819,1.15,4.3
2017-09-30,,246.819,1.15,4.3
2017-10-01,19894.75,246.663,1.15,4.2
2017-10-02,19894.75,246.663,1.15,4.2
2017-10-03,19894.75,246.663,1.15,4.2
2017-10-04,19894.75,246.663,1.15,4.2
2017-10-05,19894.75,246.663,1.15,4.2
2017-10-06,19894.75,246.663,1.15,4.2
2017-10-07,19894.75,246.663,1.15,4.2
2017-10-08,19894.75,246.663,1.15,4.2
2017-10-09,19894.75,246.663,1.15,4.2
2017-10-10,19894.75,246.663,1.15,4.2
2017-10-11,19894.75,246.663,1.15,4.2
2017-10-12,19894.75,246.663,1.15,4.2
2017-10-13,19894.75,246.663,1.15,4.2
2017-10-14,19894.75,246.663,1.15,4.2
2017-10-15,19894.75,246.663,1.15,4.2
2017-10-16,19894.75,246.663,1.15,4.2
2017-10-17,19894.75,246.663,1.15,4.2
2017-10-18,19894.75,246.663,1.15,4.2
2017-10-19,19894.75,246.663,1.15,4.2
2017-10-20,19894.75,246.663,1.15,4.2
2017-10-21,19894.75,246.663,1.15,4.2
2017-10-22,19894.75,246.663,1.15,4.2
2017-10-23,19894.75,246.663,1.15,4.2
2017-10-24,19894.75,246.663,1.15,4.2
2017-10-25,19894.75,246.663,1.15,4.2
2017-10-26,19894.75,246.663,1.15,4.2
2017-10-27,19894.75,246.663,1.15,4.2
2017-10-28,19894.75,246.663,1.15,4.2
2017-10-29,19894.75,246.663,1.15,4.2
2017-10-30,19894.75,246.663,1.15,4.2
2017-10-31,19894.75,246.663,1.15,4.2
2017-11-01,19894.75,246.669,1.16,4.2
2017-11-02,19894.75,246.669,1.16,4.2
2017-11-03,19894.75,246.669,1.16,4.2
2017-11-04,19894.75,246.669,1.16,4.2
2017-11-05,19894.75,246.669,1.16,4.2
2017-11-06,19894.75,246.669,1.16,4.2
2017-11-07,19894.75,246.669,1.16,4.2
2017-11-08,19894.75,246.669,1.16,4.2
2017-11-09,19894.75,246.669,1.16,4.2
2017-11-10,19894.75,246.669,1.16,4.2
2017-11-11,19894.75,246.669,1.16,4.2
2017-11-12,19894.75,246.669,1.16,4.2
2017-11-13,19894.75,246.669,1.16,4.2
2017-11-14,19894.75,246.669,1.16,4.2
2017-11-15,19894.75,246.669,1.16,4.2
2017-11-16,19894.75,246.669,1.16,4.2
2017-11-17,19894.75,246.669,1.16,4.2
2017-11-18,19894.75,246.669,1.16,4.2
2017-11-19,19894.75,246.669,1.16,4.2
2017-11-20,19894.75,246.669,1.16,4.2
2017-11-21,19894.75,246.669,1.16,4.2
2017-11-22,19894.75,246.669,1.16,4.2
2017-11-23,19894.75,246.669,1.16,4.2
2017-11-24,19894.75,246.669,1.16,4.2
2017-11-25,19894.75,246.669,1.16,4.2
2017-11-26,19894.75,246.669,1.16,4.2
2017-11-27,19894.75,246.669,1.16,4.2
2017-11-28,19894.75,246.669,1.16,4.2
2017-11-29,19894.75,246.669,1.16,4.2
2017-11-30,19894.75,246.669,1.16,4.2
2017-12-01,19894.75,246.524,1.3,4.1
2017-12-02,19894.75,246.524,1.3,4.1
2017-12-03,19894.75,246.524,1.3,4.1
2017-12-04,19894.75,246.524,1.3,4.1
2017-12-05,19894.75,246.524,1.3,4.1
2017-12-06,19894.75,246.524,1.3,4.1
2017-12-07,19894.75,246.524,1.3,4.1
2017-12-08,19894.75,246.524,1.3,4.1
2017-12-09,19894.75,246.524,1.3,4.1
2017-12-10,19894.75,246.524,1.3,4.1
2017-12-11,19894.75,246.524,1.3,4.1
2017-12-12,19894.75,246.524,1.3,4.1
2017-12-13,19894.75,246.524,1.3,4.1
2017-12-14,19894.75,246.524,1.3,4.1
2017-12-15,19894.75,246.524,1.3,4.1
2017-12-16,19894.75,246.524,1.3,4.1
2017-12-17,19894.75,246.524,1.3,4.1
2017-12-18,19894.75,246.524,1.3,4.1
2017-12-19,19894.75,246.524,1.3,4.1
2017-12-20,19894.75,246.524,1.3,4.1
2017-12-21,19894.75,246.524,1.3,4.1
2017-12-22,19894.75,246.524,1.3,4.1
2017-12-23,19894.75,246.524,1.3,4.1
2017-12-24,19894.75,246.524,1.3,4.1
2017-12-25,19894.75,246.524,1.3,4.1
2017-12-26,19894.75,246.524,1.3,4.1
2017-12-27,19894.75,246.524,1.3,4.1
2017-12-28,19894.75,246.524,1.3,4.1
2017-12-29,19894.75,246.524,1.3,4.1
2017-12-30,19894.75,246.524,1.3,4.1
2017-12-31,19894.75,246.524,1.3,4.1
2018-01-01,20155.486,247.867,1.41,4.0
2018-01-02,20155.486,247.867,1.41,4.0
2018-01-03,20155.486,247.867,1.41,4.0
2018-01-04,20155.486,247.867,1.41,4.0
2018-01-05,20155.486,247.867,1.41,4.0
2018-01-06,20155.486,247.867,1.41,4.0
2018-01-07,20155.486,247.867,1.41,4.0
2018-01-08,20155.486,247.867,1.41,4.0
2018-01-09,20155.486,247.867,1.41,4.0
2018-01-10,20155.486,247.867,1.41,4.0
2018-01-11,20155.486,247.867,1.41,4.0
2018-01-12,20155.486,247.867,1.41,4.0
2018-01-13,20155.486,247.867,1.41,4.0
2018-01-14,20155.486,247.867,1.41,4.0
2018-01-15,20155.486,247.867,1.41,4.0
2018-01-16,20155.486,247.867,1.41,4.0
2018-01-17,20155.486,247.867,1.41,4.0
2018-01-18,20155.486,247.867,1.41,4.0
2018-01-19,20155.486,247.867,1.41,4.0
2018-01-20,20155.486,247.867,1.41,4.0
2018-01-21,20155.486,247.867,1.41,4.0
2018-01-22,20155.486,247.867,1.41,4.0
2018-01-23,20155.486,247.867,1.41,4.0
2018-01-24,20155.486,247.867,1.41,4.0
2018-01-25,20155.486,247.867,1.41,4.0
2018-01-26,20155.486,247.867,1.41,4.0
2018-01-27,20155.486,247.867,1.41,4.0
2018-01-28,20155.486,247.867,1.41,4.0
2018-01-29,20155.486,247.867,1.41,4.0
2018-01-30,20155.486,247.867,1.41,4.0
2018-01-31,20155.486,247.867,1.41,4.0
2018-02-01,20155.486,248.991,1.42,4.1
2018-02-02,20155.486,248.991,1.42,4.1
2018-02-03,20155.486,248.991,1.42,4.1
2018-02-04,20155.486,248.991,1.42,4.1
2018-02-05,20155.486,248.991,1.42,4.1
2018-02-06,20155.486,248.991,1.42,4.1
2018-02-07,20155.486,248.991,1.42,4.1
2018-02-08,20155.486,248.991,1.42,4.1
2018-02-09,20155.486,248.991,1.42,4.1
2018-02-10,20155.486,248.991,1.42,4.1
2018-02-11,20155.486,248.991,1.42,4.1
2018-02-12,20155.486,248.991,1.42,4.1
2018-02-13,20155.486,248.991,1.42,4.1
2018-02-14,20155.486,248.991,1.42,4.1
2018-02-15,20155.486,248.991,1.42,4.1
2018-02-16,20155.486,248.991,1.42,4.1
2018-02-17,20155.486,248.991,1.42,4.1
2018-02-18,20155.486,248.991,1.42,4.1
2018-02-19,20155.486,248.991,1.42,4.1
2018-02-20,20155.486,248.991,1.42,4.1
2018-02-21,20155.486,248.991,1.42,4.1
2018-02-22,20155.486,248.991,1.42,4.1
2018-02-23,20155.486,248.991,1.42,4.1
2018-02-24,20155.486,248.991,1.42,4.1
2018-02-25,20155.486,248.991,1.42,4.1
2018-02-26,20155.486,248.991,1.42,4.1
2018-02-27,20155.486,248.991,1.42,4.1
2018-02-28,20155.486,248.991,1.42,4.1
2018-03-01,20155.486,249.554,1.51,4.0
2018-03-02,20155.486,249.554,1.51,4.0
2018-03-03,20155.486,249.554,1.51,4.0
2018-03-04,20155.486,249.554,1.51,4.0
2018-03-05,20155.486,249.554,1.51,4.0
2018-03-06,20155.486,249.554,1.51,4.0
2018-03-07,20155.486,249.554,1.51,4.0
2018-03-08,20155.486,249.554,1.51,4.0
2018-03-09,20155.486,249.554,1.51,4.0
2018-03-10,20155.486,249.554,1.51,4.0
2018-03-11,20155.486,249.554,1.51,4.0
2018-03-12,20155.486,249.554,1.51,4.0
2018-03-13,20155.486,249.554,1.51,4.0
2018-03-14,20155.486,249.554,1.51,4.0
2018-03-15,20155.486,249.554,1.51,4.0
2018-03-16,20155.486,249.554,1.51,4.0
2018-03-17,20155.486,249.554,1.51,4.0
2018-03-18,20155.486,249.554,1.51,4.0
2018-03-19,20155.486,249.554,1.51,4.0
2018-03-20,20155.486,249.554,1.51,4.0
2018-03-21,20155.486,249.554,1.51,4.0
2018-03-22,20155.486,249.554,1.51,4.0
2018-03-23,20155.486,249.554,1.51,4.0
2018-03-24,20155.486,249.554,1.51,4.0
2018-03-25,20155.486,249.554,1.51,4.0
2018-03-26,20155.486,249.554,1.51,4.0
2018-03-27,20155.486,249.554,1.51,4.0
2018-03-28,20155.486,249.554,1.51,4.0
2018-03-29,20155.486,249.554,1.51,4.0
2018-03-30,20155.486,249.554,1.51,4.0
2018-03-31,20155.486,249.554,1.51,4.0
2018-04-01,20470.197,250.546,1.69,4.0
2018-04-02,20470.197,250.546,1.69,4.0
2018-04-03,20470.197,250.546,1.69,4.0
2018-04-04,20470.197,250.546,1.69,4.0
2018-04-05,20470.197,250.546,1.69,4.0
2018-04-06,20470.197,250.546,1.69,4.0
2018-04-07,20470.197,250.546,1.69,4.0
2018-04-08,20470.197,250.546,1.69,4.0
2018-04-09,20470.197,250.546,1.69,4.0
2018-04-10,20470.197,250.546,1.69,4.0
2018-04-11,20470.197,250.546,1.69,4.0
2018-04-12,20470.197,250.546,1.69,4.0
2018-04-13,20470.197,250.546,1.69,4.0
2018-04-14,20470.197,250.546,1.69,4.0
2018-04-15,20470.197,250.546,1.69,4.0
2018-04-16,20470.197,250.546,1.69,4.0
2018-04-17,20470.197,250.546,1.69,4.0
2018-04-18,20470.197,250.546,1.69,4.0
2018-04-19,20470.197,250.546,1.69,4.0
